model,accuracy,macro_f1,precision,recall,roc_auc,pr_auc,tn,fp,fn,tp
Transformer,0.9626666666666667,0.9626642771804061,0.9701897018970189,0.9546666666666667,0.9905493333333335,0.9905895084925646,728,22,34,716
BiLSTM,0.9586666666666667,0.9586660053227518,0.9623655913978495,0.9546666666666667,0.988544,0.9895750940458198,722,28,34,716
