model,accuracy,macro_f1,precision,recall,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr
XGBoost,0.9544821179749187,0.9544431105660443,0.9793510324483776,0.9282385834109972,0.9834692451071761,0.9873236167955786,1059,21,77,996,0.019444444444444427,0.07176141658900273
RandomForest,0.9544821179749187,0.9544405922977797,0.9802955665024631,0.9273066169617894,0.9805706568637601,0.9823531782391997,1060,20,78,995,0.018518518518518504,0.07269338303821056
ExtraTrees,0.9530887134231305,0.9530591843312013,0.9736842105263158,0.9310344827586207,0.9779223188705948,0.9810303977727275,1053,27,74,999,0.02499999999999998,0.06896551724137925
MLP,0.9321876451463075,0.93213316613727,0.9548577036310107,0.9068033550792172,0.9549195747471609,0.9498564586057382,1034,46,100,973,0.04259259259259256,0.09319664492078278
LogisticRegression,0.8996748722712494,0.899518255972537,0.9306532663316583,0.8630009319664492,0.9364631873252562,0.9402802098890587,1011,69,147,926,0.06388888888888883,0.13699906803355066
