model,macro_f1_krono_val,macro_f1_androzoo,delta_macro_f1,roc_auc_krono_val,roc_auc_androzoo,delta_roc_auc,fpr_krono_val,fpr_androzoo,delta_fpr,fnr_krono_val,fnr_androzoo,delta_fnr
BiLSTM,0.9586660053227518,0.798823939528954,-0.15984206579379778,0.988544,0.8371448888888889,-0.15139911111111104,0.037333333333333336,0.208,0.17066666666666666,0.04533333333333334,0.19433333333333333,0.149
Transformer,0.962664277180406,0.7746288418739612,-0.18803543530644484,0.9905493333333336,0.852515611111111,-0.13803372222222265,0.029333333333333333,0.146,0.11666666666666665,0.04533333333333334,0.302,0.25666666666666665
