model,threshold,accuracy,macro_f1,precision,recall,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr
Transformer,0.5,0.776,0.7746288418739612,0.8270142180094787,0.698,0.852515611111111,0.8590538367192486,2562,438,906,2094,0.146,0.302
BiLSTM,0.5,0.7988333333333333,0.798823939528954,0.7948043406774088,0.8056666666666666,0.8371448888888889,0.7968360029342981,2376,624,583,2417,0.208,0.19433333333333333
