Condition,Type,N_features,Krono_F1,AZ_F1,FPR,FNR,Delta_F1
Full model (165 features),Baseline,165,0.953510808467122,0.6954924422915885,0.4216666666666667,0.17833333333333334,-0.25801836617553353
Remove Raw Counters,Leave-one-out,86,0.9479291371908821,0.5760718190475143,0.675,0.10366666666666667,-0.37185731814336787
Remove Derived Features,Leave-one-out,129,0.9549067402699839,0.6923965780783099,0.42533333333333334,0.18066666666666667,-0.262510162191674
Remove Temporal Features,Leave-one-out,143,0.9502522790412424,0.7199101228726406,0.4013333333333333,0.15,-0.23034215616860187
Remove Sequence Features,Leave-one-out,137,0.953510808467122,0.6954924422915885,0.4216666666666667,0.17833333333333334,-0.25801836617553353
Only Raw Counters,Single-group,79,0.9423202233111232,0.7047925853681074,0.4266666666666667,0.15266666666666667,-0.2375276379430158
Only Derived Features,Single-group,36,0.935287926959194,0.596606636446108,0.6353333333333333,0.11733333333333333,-0.33868129051308604
Only Temporal Features,Single-group,22,0.9139092801518531,0.507547390799743,0.783,0.08033333333333334,-0.40636188935211015
Only Sequence Features,Single-group,28,0.33405505722239404,0.3333333333333333,0.0,1.0,-0.0007217238890607214
