model,accuracy,macro_f1,precision,recall,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr
XGBoost,0.7075,0.7009646743293736,0.6601492153331618,0.8553333333333333,0.7398807222222221,0.7060292658945905,1679,1321,434,2566,0.4403333333333332,0.1446666666666666
RandomForest,0.665,0.6446451142062279,0.6115870153291253,0.9043333333333333,0.7408568333333334,0.6784888616703435,1277,1723,287,2713,0.5743333333333331,0.09566666666666664
ExtraTrees,0.6395,0.6133274105906041,0.5917561938171454,0.8996666666666666,0.7355918888888888,0.6694686046513433,1138,1862,301,2699,0.6206666666666665,0.1003333333333333
MLP,0.6365,0.610398785692269,0.5899406984405886,0.8953333333333333,0.8103619444444444,0.8108915566708399,1133,1867,314,2686,0.6223333333333332,0.10466666666666663
LogisticRegression,0.6,0.5868610332490798,0.5737100737100738,0.7783333333333333,0.6637534444444445,0.6140779390992738,1265,1735,665,2335,0.5783333333333331,0.2216666666666666
