model,macro_f1_krono_val,macro_f1_androzoo,delta_macro_f1,roc_auc_krono_val,roc_auc_androzoo,delta_roc_auc,fpr_krono_val,fpr_androzoo,delta_fpr,fnr_krono_val,fnr_androzoo,delta_fnr
XGBoost,0.9544431105660444,0.7009646743293736,-0.25347843623667077,0.983469245107176,0.7398807222222221,-0.24358852288495392,0.0194444444444444,0.4403333333333332,0.4208888888888888,0.0717614165890027,0.1446666666666666,0.07290525007766391
RandomForest,0.9544405922977796,0.6446451142062279,-0.3097954780915516,0.98057065686376,0.7408568333333334,-0.23971382353042658,0.0185185185185185,0.5743333333333331,0.5558148148148147,0.0726933830382105,0.09566666666666664,0.02297328362845613
ExtraTrees,0.9530591843312012,0.6133274105906041,-0.33973177374059704,0.9779223188705948,0.7355918888888888,-0.24233042998170595,0.0249999999999999,0.6206666666666665,0.5956666666666666,0.0689655172413792,0.1003333333333333,0.031367816091954104
MLP,0.93213316613727,0.610398785692269,-0.321734380445001,0.9549195747471608,0.8103619444444444,-0.1445576303027164,0.0425925925925925,0.6223333333333332,0.5797407407407407,0.0931966449207827,0.10466666666666663,0.011470021745883935
LogisticRegression,0.899518255972537,0.5868610332490798,-0.3126572227234572,0.9364631873252562,0.6637534444444445,-0.27270974288081173,0.0638888888888888,0.5783333333333331,0.5144444444444444,0.1369990680335506,0.2216666666666666,0.08466759863311599
