macro_f1,roc_auc,pr_auc,fpr,fnr,benign_recall,tn,fp,fn,tp,seed,model,strategy,threshold,n_adapt,n_val,n_test
0.7987,0.8366,0.7958,0.208,0.1947,0.792,2376,624,584,2416,42,BiLSTM,No adaptation (baseline),0.5,,,
0.7979,0.8366,0.7958,0.1793,0.2247,0.8207,2462,538,674,2326,42,BiLSTM,Threshold recalib. (t=0.70),0.7,,,
0.7922,0.8366,0.7958,0.1603,0.2543,0.8397,2519,481,763,2237,42,BiLSTM,Threshold recalib. (t=0.80),0.8,,,
0.8412,0.8835,0.8973,0.1255,0.1918,0.8745,2230,320,489,2061,42,BiLSTM,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.7818,0.8561,0.8416,0.24,0.1962,0.76,1824,576,471,1929,42,BiLSTM,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9114,0.9587,0.9697,0.0367,0.14,0.9633,289,11,42,258,42,BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7746,0.8523,0.859,0.146,0.302,0.854,2562,438,906,2094,42,Transformer,No adaptation (baseline),0.5,,,
0.7722,0.8523,0.859,0.13,0.3213,0.87,2610,390,964,2036,42,Transformer,Threshold recalib. (t=0.70),0.7,,,
0.7693,0.8523,0.859,0.1227,0.3337,0.8773,2632,368,1001,1999,42,Transformer,Threshold recalib. (t=0.80),0.8,,,
0.8116,0.8725,0.9058,0.1792,0.1976,0.8208,2093,457,504,2046,42,Transformer,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8216,0.8758,0.9091,0.1662,0.1904,0.8337,2001,399,457,1943,42,Transformer,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9031,0.96,0.9709,0.0467,0.1467,0.9533,286,14,44,256,42,Transformer,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
