macro_f1,roc_auc,pr_auc,fpr,fnr,benign_recall,tn,fp,fn,tp,seed,model,strategy,threshold,n_adapt,n_val,n_test
0.7987,0.8366,0.7958,0.208,0.1947,0.792,2376,624,584,2416,22,BiLSTM,No adaptation (baseline),0.5,,,
0.7979,0.8366,0.7958,0.1793,0.2247,0.8207,2462,538,674,2326,22,BiLSTM,Threshold recalib. (t=0.70),0.7,,,
0.7922,0.8366,0.7958,0.1603,0.2543,0.8397,2519,481,763,2237,22,BiLSTM,Threshold recalib. (t=0.80),0.8,,,
0.8194,0.8801,0.8933,0.1761,0.1851,0.8239,2101,449,472,2078,22,BiLSTM,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8292,0.8776,0.8778,0.135,0.2062,0.865,2076,324,495,1905,22,BiLSTM,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.8945,0.9421,0.9583,0.0367,0.1733,0.9633,289,11,52,248,22,BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7746,0.8523,0.859,0.146,0.302,0.854,2562,438,906,2094,22,Transformer,No adaptation (baseline),0.5,,,
0.7722,0.8523,0.859,0.13,0.3213,0.87,2610,390,964,2036,22,Transformer,Threshold recalib. (t=0.70),0.7,,,
0.7693,0.8523,0.859,0.1227,0.3337,0.8773,2632,368,1001,1999,22,Transformer,Threshold recalib. (t=0.80),0.8,,,
0.8049,0.8716,0.8973,0.2106,0.1796,0.7894,2013,537,458,2092,22,Transformer,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8153,0.8813,0.9091,0.205,0.1642,0.795,1908,492,394,2006,22,Transformer,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.8948,0.9559,0.9664,0.0633,0.1467,0.9367,281,19,44,256,22,Transformer,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
